,Source,Target,type_of_content,created_at,text
2394,Vinodkakku,Uber_India,Mention,2021-03-27 08:21:49,Again cancelled by driver @Uber_Support @Uber_India @Uber  what is this going nonsense this is 5th cancelled.. I ha… https://t.co/OPNbvv4v79
2395,Vinodkakku,Uber,Mention,2021-03-27 08:21:49,Again cancelled by driver @Uber_Support @Uber_India @Uber  what is this going nonsense this is 5th cancelled.. I ha… https://t.co/OPNbvv4v79
2396,anurag_smishra,Uber,Mention,2021-03-27 08:26:07,"Dear @Uber ,
Look how this guy coming at pickup. Even if the rating of the rider is good, but I don’t see he is com… https://t.co/NhGxFs3CQA"
2397,Uber_Support,MrJohn_B,Reply,2021-03-27 08:45:38,"@MrJohn_B Hi John, happy to help. Kindly DM us the order ID which you are referring to so that we can assist you better."
2399,Deep_2_Biswas,Uber_Support,Reply,2021-03-27 09:03:42,"@Uber_Support 

This is the detail of the trip. The driver did not turn AC on at all. 😡😡🤬🤬 https://t.co/nHdluk5nGg"
2401,SkcSamrat,Uber_Support,Mention,2021-03-27 09:18:37,Increase the fare but please do not harass we customers @Uber_Support  mobile no 8051115556 https://t.co/Vjcc21IbeQ
2402,OceansetEmma,Uber_Support,Reply,2021-03-27 09:25:41,"@Uber_Support will you PLEASE get some better feedback options for us to even say anything back as a driver. 
I got… https://t.co/KIHIWyAhas"
2403,ERamsey10123939,Uber_Support,Reply,2021-03-27 09:28:47,@Uber_Support do I get $200 for first ten deliveries as advertised?
2404,Uber_Support,SkcSamrat,Reply,2021-03-27 09:38:15,"@SkcSamrat Hey Samrat, sorry to hear about the experience. Please share the exact date and time of the trip via Dir… https://t.co/TefjKwgDcA"
2406,SkcSamrat,Uber_Support,Reply,2021-03-27 09:51:39,@Uber_Support This is happened with all Uber drivers in kolkata I am enclosing trip details https://t.co/0J5qN5jdxr
2408,SachinK14512393,Uber_Support,Reply,2021-03-27 10:07:25,"@Uber_Support @Uber_India @Uber @UberINSupport I really need to talk to some authority, I really don’t have time to… https://t.co/bIw7YGGM3W"
2409,SachinK14512393,Uber_India,Reply,2021-03-27 10:07:25,"@Uber_Support @Uber_India @Uber @UberINSupport I really need to talk to some authority, I really don’t have time to… https://t.co/bIw7YGGM3W"
2410,SachinK14512393,Uber,Reply,2021-03-27 10:07:25,"@Uber_Support @Uber_India @Uber @UberINSupport I really need to talk to some authority, I really don’t have time to… https://t.co/bIw7YGGM3W"
2411,SachinK14512393,UberINSupport,Reply,2021-03-27 10:07:25,"@Uber_Support @Uber_India @Uber @UberINSupport I really need to talk to some authority, I really don’t have time to… https://t.co/bIw7YGGM3W"
2412,MurtuzaBootwal1,Uber_Support,Reply,2021-03-27 10:09:54,@Uber_Support @Uber  This is second time I had faced issue with ride. initially I was shown 166 Rs for ride and Dri… https://t.co/pKLhtnjVoc
2413,MurtuzaBootwal1,Uber,Reply,2021-03-27 10:09:54,@Uber_Support @Uber  This is second time I had faced issue with ride. initially I was shown 166 Rs for ride and Dri… https://t.co/pKLhtnjVoc
2414,suryaviraj,Uber_Support,Reply,2021-03-27 10:19:08,@Uber_Support @Uber_Pune I need to change my bank account. Please help me.
2415,suryaviraj,Uber_Pune,Reply,2021-03-27 10:19:08,@Uber_Support @Uber_Pune I need to change my bank account. Please help me.
2416,Uber_Support,PenroseKirk,Reply,2021-03-27 10:19:13,@PenroseKirk We'll do everything we can to help. Please send us a DM with the phone number associated with your Ube… https://t.co/AaLYuy6AZN
2418,PenroseKirk,Uber_Support,Reply,2021-03-27 10:29:45,@Uber_Support And that point he was ment to be at my front door but I still hate to wait 5 mins because he was nowhere near my house
2419,PenroseKirk,Uber_Support,Reply,2021-03-27 10:33:24,@Uber_Support I was on yhe phone to your selves last night and today but got told to go to help and support. They h… https://t.co/AZjLQim0G1
2420,PenroseKirk,Uber_Support,Reply,2021-03-27 10:40:33,@Uber_Support Still waited an extra 5 mins as he was no where near my house https://t.co/15srRAM9pc
2421,SkcSamrat,Uber_Support,Reply,2021-03-27 10:46:46,@Uber_Support  @Uber  this is the torture going on we customers in Calcutta https://t.co/YUFJpXNqo7
2422,SkcSamrat,Uber,Reply,2021-03-27 10:46:46,@Uber_Support  @Uber  this is the torture going on we customers in Calcutta https://t.co/YUFJpXNqo7
2425,JohnPie00834352,Uber_Support,Reply,2021-03-27 10:47:24,@Uber_Support still unable to use the cash out feature... 😒
2426,Edwardw83,Uber_Support,Reply,2021-03-27 10:52:19,@Uber_Support It looks like it has been fixed
2427,MrJohn_B,Uber_Support,Reply,2021-03-27 10:59:05,"@Uber_Support Hi, Please see above. Thanks https://t.co/uI1VJCpl3v"
2429,Eshwarchandrapr,Uber_Support,Reply,2021-03-27 10:59:36,"@Uber_Support 
It has last 10 days but getting any help from Uber team.
My wife has booked Uber cab on 14.03.21 fro… https://t.co/rQ1egUhgYK"
2430,Eshwarchandrapr,Uber_Support,Reply,2021-03-27 11:00:39,"@Uber_Support 

@Uber_Support 
It has last 10 days but not getting any help from Uber team.
total fare was 934Rs wh… https://t.co/QavnmNukTn"
2432,Uber_Support,Lucky00890359,Reply,2021-03-27 11:07:20,@Lucky00890359 We're here to help. Please send us a DM with the phone number associated with your Uber account as w… https://t.co/2bTxdGlFlN
2433,iamumar1989,Uber_Support,Reply,2021-03-27 11:19:14,"@Uber_Support Dear support team, any update please ?"
2434,AnubhavBhatia99,Uber_Support,Reply,2021-03-27 11:23:10,"@Uber_Support Hi Guys, my account  has been deactivated , can you guys please help, it’s the only source of income. Thank you."
2435,Uber_Support,dan592,Reply,2021-03-27 11:36:19,"@dan592 We appreciate your patience. Kindly note that we've replied to your DM, please check."
2436,Uber_Support,sangthan_yuva,Reply,2021-03-27 11:47:53,"@sangthan_yuva Hey there, we've resolved your concern and sent a response your way. You should be able to view the… https://t.co/E47UQvVXrU"
2437,Uber_Support,Rachel25558900,Reply,2021-03-27 11:54:43,"@Rachel25558900 Hi Rachel, we are happy to help. Please follow our support page: https://t.co/Oyi5ek4ge6 so our Ube… https://t.co/lcLRWtJaYW"
2438,Mausin_Chhipa,Uber_India,Mention,2021-03-27 11:54:59,Very disappointed from uber cab ☹️☹️☹️ @Uber_India @Uber_Support
2439,Mausin_Chhipa,Uber_Support,Mention,2021-03-27 11:54:59,Very disappointed from uber cab ☹️☹️☹️ @Uber_India @Uber_Support
2440,judy42104,Uber_Support,Reply,2021-03-27 12:38:07,"@Uber_Support @ClubHead777 Hey uber, may 16 I opened my app to Uber home from a restaurant about 9:30 pm . No uber… https://t.co/sVqXg22zyn"
2441,judy42104,ClubHead777,Reply,2021-03-27 12:38:07,"@Uber_Support @ClubHead777 Hey uber, may 16 I opened my app to Uber home from a restaurant about 9:30 pm . No uber… https://t.co/sVqXg22zyn"
2442,travofoz,Uber_Support,Reply,2021-03-27 12:43:58,@Uber_Support @HenryLacey GIMME MY $3.15 YOU CHISELING FUCKS. I DONT WANT UBERCASH. I WANT MY FUCKING REFUND
2443,travofoz,HenryLacey,Reply,2021-03-27 12:43:58,@Uber_Support @HenryLacey GIMME MY $3.15 YOU CHISELING FUCKS. I DONT WANT UBERCASH. I WANT MY FUCKING REFUND
2444,Uber_Support,christiaanmeyer,Reply,2021-03-27 12:46:50,"@christiaanmeyer We appreciate your patience. Kindly note that we've replied to your DM, please check."
2445,christiaanmeyer,Uber_Support,Reply,2021-03-27 12:49:53,@Uber_Support In your DM you says you followed up via email and this is wrong. Are you referring to when you follow… https://t.co/7R5lS21uNT
2446,TheeBarberDoc,Uber_Support,Reply,2021-03-27 12:49:58,@Uber_Support i never received my order and no one will answer my support message
2447,Uber_Support,christiaanmeyer,Reply,2021-03-27 12:57:08,@christiaanmeyer Kindly note that we've responded to your concern via DM. Please check.
2448,Rachel25558900,Uber_Support,Reply,2021-03-27 12:57:28,@Uber_Support That’s a link to the app.... doesn’t work
2449,immnmishra,Uber,Reply,2021-03-27 13:00:54,"@Uber @Uber_Support Hey guys, I am perplexed with your charges as I have been charged 3x to the earlier shown amoun… https://t.co/ga9wtlmE6Q"
2450,immnmishra,Uber_Support,Reply,2021-03-27 13:00:54,"@Uber @Uber_Support Hey guys, I am perplexed with your charges as I have been charged 3x to the earlier shown amoun… https://t.co/ga9wtlmE6Q"
2451,christiaanmeyer,Uber_Support,Reply,2021-03-27 13:01:18,@Uber_Support Why do you keep asking for the trip details when your own app doesn't show me the trip details? How a… https://t.co/1gr446QL1i
2453,Uber_Support,TheBaconToastie,Reply,2021-03-27 13:03:44,"@TheBaconToastie Hi there, happy to explain. In order to verify your account, kindly get back to us along with the… https://t.co/C8WL3DHMYn"
2454,Uber_Support,jefford_chris,Reply,2021-03-27 13:04:01,@jefford_chris We're here to help! Please send us a DM with the phone number associated with your account as well a… https://t.co/Qt0s0OWxCL
2455,eliyahcodex,Racheljoyknight,Reply,2021-03-27 13:14:13,"@Racheljoyknight @Uber_Support @eliyahcodex @BillyeBrim 
#EOE( ˘ ³˘)♥ @LiamShi3 
"" Don't let every enemy know you recognize them"" #drmm"
2456,eliyahcodex,Uber_Support,Reply,2021-03-27 13:14:13,"@Racheljoyknight @Uber_Support @eliyahcodex @BillyeBrim 
#EOE( ˘ ³˘)♥ @LiamShi3 
"" Don't let every enemy know you recognize them"" #drmm"
2457,eliyahcodex,eliyahcodex,Reply,2021-03-27 13:14:13,"@Racheljoyknight @Uber_Support @eliyahcodex @BillyeBrim 
#EOE( ˘ ³˘)♥ @LiamShi3 
"" Don't let every enemy know you recognize them"" #drmm"
2458,eliyahcodex,BillyeBrim,Reply,2021-03-27 13:14:13,"@Racheljoyknight @Uber_Support @eliyahcodex @BillyeBrim 
#EOE( ˘ ³˘)♥ @LiamShi3 
"" Don't let every enemy know you recognize them"" #drmm"
2459,eliyahcodex,LiamShi3,Reply,2021-03-27 13:14:13,"@Racheljoyknight @Uber_Support @eliyahcodex @BillyeBrim 
#EOE( ˘ ³˘)♥ @LiamShi3 
"" Don't let every enemy know you recognize them"" #drmm"
2460,LiamShi3,eliyahcodex,Reply,2021-03-27 13:16:56,"@eliyahcodex @Racheljoyknight @Uber_Support @BillyeBrim *** disney time works ***
** The Divine Light International… https://t.co/dOoSouNJG2"
2461,LiamShi3,Racheljoyknight,Reply,2021-03-27 13:16:56,"@eliyahcodex @Racheljoyknight @Uber_Support @BillyeBrim *** disney time works ***
** The Divine Light International… https://t.co/dOoSouNJG2"
2462,LiamShi3,Uber_Support,Reply,2021-03-27 13:16:56,"@eliyahcodex @Racheljoyknight @Uber_Support @BillyeBrim *** disney time works ***
** The Divine Light International… https://t.co/dOoSouNJG2"
2463,LiamShi3,BillyeBrim,Reply,2021-03-27 13:16:56,"@eliyahcodex @Racheljoyknight @Uber_Support @BillyeBrim *** disney time works ***
** The Divine Light International… https://t.co/dOoSouNJG2"
2464,lizzy11965386,Uber_Support,Reply,2021-03-27 13:19:12,"@Uber_Support Hello there, I am a Blue Light Card Holder in the UK and it means I get 25% off at KFC how do I add this discount to my order?"
2465,Uber_Support,onilanre365,Reply,2021-03-27 13:28:19,"@onilanre365 To be able to follow up on your request via DMs and provide further assistance, kindly follow our Twit… https://t.co/CTn1mF9KHQ"
2466,snnood,Uber_Support,Reply,2021-03-27 13:33:50,@Uber_Support @HenryLacey Someone contacted me on WhatsApp and sent me an email and told me to change the e-mail. I… https://t.co/VTuE40HlLc
2467,snnood,HenryLacey,Reply,2021-03-27 13:33:50,@Uber_Support @HenryLacey Someone contacted me on WhatsApp and sent me an email and told me to change the e-mail. I… https://t.co/VTuE40HlLc
2468,anirudhvem,Uber_Support,Reply,2021-03-27 13:40:20,"@Uber_Support took a cab from asian hospita, Faridabad to sector 70 Faridabad. Now I ask the driver to please turn… https://t.co/tvmyetfhOR"
2469,roeravid,Uber_Support,Reply,2021-03-27 13:41:36,@Uber_Support still not working I got the email saying it went through but... https://t.co/wPe9b1ZKgr
2471,JayStirling9,Uber_Support,Reply,2021-03-27 13:42:34,@Uber_Support  Need a refund got charged for a trip that never got took.
2472,rosaboots,Uber_Support,Reply,2021-03-27 13:49:17,@Uber_Support This is the route you were charging $162 for… please explain uber. https://t.co/VqvF94ks2E
2473,Uber_Support,rosaboots,Reply,2021-03-27 14:06:59,"@rosaboots We understand your concern. We've been in touch via DM. If you have any additional questions, please let… https://t.co/AMO2ig0sgR"
2474,onilanre365,Uber_Support,Reply,2021-03-27 14:09:51,@Uber_Support Following already
2475,bijoy_prasad,Uber_Support,Reply,2021-03-27 14:17:49,@Uber_Support @Uber @UberINSupport App not letting me book any ride saying clear pending payments whereas there is… https://t.co/B1mQyTbqJ2
2476,bijoy_prasad,Uber,Reply,2021-03-27 14:17:49,@Uber_Support @Uber @UberINSupport App not letting me book any ride saying clear pending payments whereas there is… https://t.co/B1mQyTbqJ2
2477,bijoy_prasad,UberINSupport,Reply,2021-03-27 14:17:49,@Uber_Support @Uber @UberINSupport App not letting me book any ride saying clear pending payments whereas there is… https://t.co/B1mQyTbqJ2
2481,Uber_Support,Rob89586239,Reply,2021-03-27 14:23:36,@Rob89586239 We definitely want to follow up. Please provide more details of what specific issue you are having and… https://t.co/X3uSkTNwBZ
2482,rosaboots,Uber_Support,Reply,2021-03-27 14:29:50,@Uber_Support Don’t slide in my DM’s with this BS of an excuse @Uber even if “demands were high” how is less than a… https://t.co/dYExjbO4rD
2483,rosaboots,Uber,Reply,2021-03-27 14:29:50,@Uber_Support Don’t slide in my DM’s with this BS of an excuse @Uber even if “demands were high” how is less than a… https://t.co/dYExjbO4rD
2484,rodeodove,Uber_Support,Reply,2021-03-27 14:30:14,"@Uber_Support 

How do I reach a human at Uber eats regarding a food delivery complaint??"
2485,aidanbell0,Uber_Support,Reply,2021-03-27 14:40:05,@Uber_Support Your DM states that I'm still on the hook for the cost of the order that was cancelled.
2486,Lizzyslates22,Uber_Support,Reply,2021-03-27 14:43:16,@Uber_Support @Uber someone tell me how this receipt is correct? It won’t let me dispute it in the app because you’… https://t.co/x5JnYOaC4N
2487,Lizzyslates22,Uber,Reply,2021-03-27 14:43:16,@Uber_Support @Uber someone tell me how this receipt is correct? It won’t let me dispute it in the app because you’… https://t.co/x5JnYOaC4N
2488,Uber_Support,AllHailQueenRed,Reply,2021-03-27 14:51:27,@AllHailQueenRed We've escalated this to the appropriate team who will follow up with you as soon as possible. Keep… https://t.co/ufyrfrn1YR
2489,AllHailQueenRed,Uber_Support,Reply,2021-03-27 14:53:44,@Uber_Support No. I’m tired of emailing/texting. I want to SPEAK to an actual representative ON THE PHONE not an em… https://t.co/Z38xuUenp1
2490,Uber_Support,archujb,Reply,2021-03-27 14:56:36,"@archujb Hi Archu, we are happy to help. Please follow our support page: https://t.co/NdWRVqkKq4 so our Uber Eats s… https://t.co/KPHUlT09Az"
2491,Uber_Support,suhIut,Reply,2021-03-27 14:56:54,@suhIut We appreciate you taking the time to let us know about this. Please send us a DM more information regarding… https://t.co/4vthBNidVv
2492,amrish1304,Uber_Support,Reply,2021-03-27 14:57:07,@Uber_Support What is happening here? https://t.co/IWquJp97kl
2494,suhIut,Uber_Support,Reply,2021-03-27 15:07:14,@Uber_Support it is working now nvm ty https://t.co/ubbH8HHbtN
2495,apang_ttc,UberEats,Mention,2021-03-27 15:08:17,Beware of @UberEats - they suspended my account without explanation as soon as I added a large value gift card and… https://t.co/g13iZCohae
2496,ReddypallyRahul,ReddypallyRahul,Tweet,2021-03-27 15:10:42,"My problem is not solved sir.
I drive 25 km but the fare is calculated 15 km where is the rest of  10 km.
I want my… https://t.co/3I1wf5FHPM"
2497,Brlnt_Bhrtvsi,Uber_Support,Reply,2021-03-27 15:10:47,@Uber_Support Thanks for your response unfortunately I have used same service via Uber Eats app and as per attached… https://t.co/lyTjMRklsX
2499,mka1964,Uber_Support,Reply,2021-03-27 15:13:19,@Uber_Support   I have two charges on my credit card from the same restaurant  same day one Order was cancelled one… https://t.co/i88hpE91n9
2500,archujb,Uber_Support,Reply,2021-03-27 15:19:01,@Uber_Support Still I can’t find the contact details to contact the customer service. Shambles #disgusting
2501,avising85155894,Uber_Support,Reply,2021-03-27 15:19:25,@Uber_Support my name is ajeet I am a uber bike driver I wass trying change my account number but I have showing is… https://t.co/DZdfv4TOGn
2502,chakraborty_s2,Uber_Support,Reply,2021-03-27 15:22:42,@Uber_Support there must be some guideline about bike driver denial and it's happening frequently. Don't know wheat… https://t.co/LM9ZIFJHSh
2504,jefford_chris,Uber_Support,Reply,2021-03-27 15:26:26,"@Uber_Support So you're not denying it, good. As I have proof."
2505,mka1964,Uber_Support,Mention,2021-03-27 15:27:05,Unfair business practices. @Uber_Support @UberEats  suspended my account because they are charging me twice for one… https://t.co/Ng1IUVQSdY
2506,mka1964,UberEats,Mention,2021-03-27 15:27:05,Unfair business practices. @Uber_Support @UberEats  suspended my account because they are charging me twice for one… https://t.co/Ng1IUVQSdY
2507,mka1964,BBBTriCounties,Reply,2021-03-27 15:29:29,@BBBTriCounties   Why does @Uber_Support &amp; @UberEats  have such bad customer service. They are charging me 2x for o… https://t.co/8MuPPe9RFd
2508,mka1964,Uber_Support,Reply,2021-03-27 15:29:29,@BBBTriCounties   Why does @Uber_Support &amp; @UberEats  have such bad customer service. They are charging me 2x for o… https://t.co/8MuPPe9RFd
2509,mka1964,UberEats,Reply,2021-03-27 15:29:29,@BBBTriCounties   Why does @Uber_Support &amp; @UberEats  have such bad customer service. They are charging me 2x for o… https://t.co/8MuPPe9RFd
2510,Uber_Support,4dpeople1,Reply,2021-03-27 15:38:39,"@4dpeople1 Hey, we see that your concern has been duly addressed and an update has been sent to you. Please refer t… https://t.co/lN7z8R2n3p"
2511,Uber_Support,Cindypeach0,Reply,2021-03-27 15:42:05,@Cindypeach0 The feedback you have provided is very important to us and a matter that we take very seriously. Outre… https://t.co/4Cg6XUpGje
2512,christiaanmeyer,Uber_Support,Reply,2021-03-27 15:44:48,@Uber_Support @Cindypeach0 Cool so are you gonna take action on the driver abusing missing face mask reports with m… https://t.co/aasATJSDRy
2513,christiaanmeyer,Cindypeach0,Reply,2021-03-27 15:44:48,@Uber_Support @Cindypeach0 Cool so are you gonna take action on the driver abusing missing face mask reports with m… https://t.co/aasATJSDRy
2514,Uber_Support,finest_fantasy,Reply,2021-03-27 15:57:54,@finest_fantasy This isn't the kind of experience we hope to hear about. Please send us a DM with the phone number… https://t.co/bEPnXeuRjJ
2515,pradhan_yukti,UberEats,Reply,2021-03-27 15:58:32,"@UberEats @Uber_Support  I ordered from Real Fruit Bubble Tea (Malvern Town Center). 
Order #7607F on last Thursday… https://t.co/j9YYpReGPF"
2516,pradhan_yukti,Uber_Support,Reply,2021-03-27 15:58:32,"@UberEats @Uber_Support  I ordered from Real Fruit Bubble Tea (Malvern Town Center). 
Order #7607F on last Thursday… https://t.co/j9YYpReGPF"
2517,DopeMoneyGoals,Uber,Mention,2021-03-27 15:58:35,"Dear lawyers &amp; journalists:

On March 18th @Uber had a ""glitch"" that functionally stole money from drivers' earning… https://t.co/VDVYFDNFng"
2518,Rob89586239,Uber_Support,Reply,2021-03-27 16:05:14,"@Uber_Support You definitely don't, because you're doing the exact same thing I tweeted about.  Just give me my money back"
2519,finest_fantasy,Uber_Support,Reply,2021-03-27 16:06:46,"@Uber_Support will do, thank you!"
2520,Denmark786,Uber_Support,Reply,2021-03-27 16:16:02,@Uber_Support Why would they ask for your pin !!!
2521,Cindypeach0,Uber_Support,Reply,2021-03-27 16:18:58,@Uber_Support Uber you are dumb HE PICKED ME UP FROM A VERIFIED DOCTORS OFFICE!! You know BOARD CERTIFIED!! Where i… https://t.co/3kzNLzHBAT
2522,Cindypeach0,christiaanmeyer,Reply,2021-03-27 16:20:28,@christiaanmeyer @Uber_Support Right shits trifling this why I bought a car yesterday uber ain’t gone play with me… https://t.co/Xa7vaahFJn
2523,Cindypeach0,Uber_Support,Reply,2021-03-27 16:20:28,@christiaanmeyer @Uber_Support Right shits trifling this why I bought a car yesterday uber ain’t gone play with me… https://t.co/Xa7vaahFJn
2524,Uber_Support,RobertsWBA23,Reply,2021-03-27 16:22:31,"@RobertsWBA23 Hi Anthony, we are happy to help. Please follow our support page: https://t.co/3NOYtNB2gr so our Uber… https://t.co/sEOwfTAZDK"
2525,Jade28603783,Uber_Support,Reply,2021-03-27 16:24:38,@Uber_Support What's the status on my background check review?? I have no problem with door dash?
2526,RobertsWBA23,Uber_Support,Reply,2021-03-27 16:27:25,@Uber_Support nah. your a scam.
2527,GCBSTAR2020,Uber_Support,Reply,2021-03-27 16:30:04,"@Uber_Support I did a ride with Uber Danny, Toyota Corolla IGP385 and suppose to be a second stop but he left me th… https://t.co/snhTYEpESE"
2528,JuliaAn18208043,Uber_Support,Reply,2021-03-27 16:30:28,@Uber_Support Uber Eats charged me $29.49 instead of $12.34 for my order from 7-eleven. It happened because “Salted… https://t.co/0MqCitJa57
2530,JuliaAn18208043,Uber_Support,Reply,2021-03-27 16:32:29,@Uber_Support being waiting for over 13 hours about the over charged order. Never received any response here or in app.
2531,Uber_Support,JuliaAn18208043,Reply,2021-03-27 16:43:18,"@JuliaAn18208043 We're here to assist. We've been in touch via DM. If you have any questions, please let us know by… https://t.co/tXdMQRF6A8"
2532,cix_vk,Uber_Support,Reply,2021-03-27 16:46:18,"@Uber_Support I was charged $107 for although I was shown a $25 fee upfront. You can call the driver and ask him, t… https://t.co/qcd8zkgdsJ"
2534,JuliaAn18208043,Uber_Support,Reply,2021-03-27 16:46:38,@Uber_Support The question is when can I get a response in app about my request of refund!
2535,ReddypallyRahul,CimGOI,Reply,2021-03-27 16:52:44,"@CimGOI 
My problem is not solved sir.
I drive 25 km but the fare is calculated 15 km where is the rest of  10 km.… https://t.co/J7YjDTGrzZ"
2536,Uber_Support,jefford_chris,Reply,2021-03-27 16:59:42,@jefford_chris We understand your concerns. Please send us a DM with the phone number associated with your Uber acc… https://t.co/ISsfgoqGvI
2537,carmenn43904899,Uber_Support,Reply,2021-03-27 17:00:46,@Uber_Support I used a promo code for my order but it came damaged and I was refunded.. can I still use the promo code again?
2538,JayStirling9,Uber_Support,Reply,2021-03-27 17:01:31,"@Uber_Support  can yous help me out instead of just patching me please, cheers"
2539,cr_newyork,Uber_Support,Mention,2021-03-27 17:07:50,Sent dm @Uber_Support I had a code but it disappeared
2540,Fay60994725,Uber_Support,Reply,2021-03-27 17:13:56,"@Uber_Support I have been trying to get ahold of support for Uber eats, I am a driver, it never lets my call throug… https://t.co/NOZDvlwUyO"
2541,Uber_Support,sakhan92,Reply,2021-03-27 17:22:44,@sakhan92 We definitely want to get this sorted out. Please send us a DM with the phone number associated with your… https://t.co/YQy4KzFlag
2542,Tribal_Anarch,Uber_Support,Reply,2021-03-27 17:24:14,@Uber_Support Does uber discriminate against people with medical disabilities who cannot wear a mask?
2543,aidanbell0,Uber_Support,Reply,2021-03-27 17:26:21,"@Uber_Support Called the restaurant in question (since they've got to be the ones asking for the money, right?) Tur… https://t.co/q9JagDe2VP"
2544,sakhan92,Uber_Support,Reply,2021-03-27 17:26:23,@Uber_Support I sent the phone number in DM and hope to get rid of this problem
2545,Uber_Support,Tribal_Anarch,Reply,2021-03-27 17:29:54,"@Tribal_Anarch We've been in touch via DM. If you have any questions, please let us know by replying to that message."
2546,AnAnTh18225529,Uber_Support,Reply,2021-03-27 17:31:29,"@Uber_Support, I would like to bring to your notice that everytime I try to link Gpay to Uber app, even though Rs.… https://t.co/AANtgFVxv9"
2547,AnAnTh18225529,Uber_Support,Reply,2021-03-27 17:33:03,"@Uber_Support, Please improve your login process, I followed your instructions for the payments, uninstalled the ap… https://t.co/cTiqw5LOYR"
2549,Uber_Support,BiteSizeOreos,Reply,2021-03-27 17:34:37,"@BiteSizeOreos We're here to assist. We've been in touch via DM. If you have any questions, please let us know by replying to that message."
2550,Tribal_Anarch,Uber_Support,Reply,2021-03-27 17:35:36,"@Uber_Support I am asking you a straight up question, does uber discriminate against people with medical disabiliti… https://t.co/CeHvOnyFDY"
2551,greenfreeman12,mka1964,Reply,2021-03-27 17:36:40,"@mka1964 @ShieldVoC @UberEats @Uber_Support Call your bank and have one of the charges reversed, easy!"
2552,greenfreeman12,ShieldVoC,Reply,2021-03-27 17:36:40,"@mka1964 @ShieldVoC @UberEats @Uber_Support Call your bank and have one of the charges reversed, easy!"
2553,greenfreeman12,UberEats,Reply,2021-03-27 17:36:40,"@mka1964 @ShieldVoC @UberEats @Uber_Support Call your bank and have one of the charges reversed, easy!"
2554,greenfreeman12,Uber_Support,Reply,2021-03-27 17:36:40,"@mka1964 @ShieldVoC @UberEats @Uber_Support Call your bank and have one of the charges reversed, easy!"
2555,Uber_Support,crystalyeoman__,Reply,2021-03-27 17:45:05,@crystalyeoman__ We understand that this experience was less than ideal. We're currently reviewing your concern and… https://t.co/dW1IDB2pbo
2556,crystalyeoman__,Uber_Support,Reply,2021-03-27 17:48:18,"@Uber_Support Hey, appreciate this response and hope that you will take this seriously and assist ASAP. I can let y… https://t.co/u25gBB9lpu"
2557,Uber_Support,chrisdolmannn,Reply,2021-03-27 17:54:39,@chrisdolmannn We're ready to look into this for you. Please send us the email address associated with your account… https://t.co/VjDF2GWMZb
2558,md_nicolae,Uber_Support,Mention,2021-03-27 17:57:14,"Hey @Uber_Support, i tried using my referral code today, but it didnt work neither for me or for my friends' order.… https://t.co/V5oCLfXNgc"
2559,mac_matz,Uber_Support,Reply,2021-03-27 17:59:45,@Uber_Support @UberEats why did you double charge me on my order? https://t.co/7Sk8zMXIws
2560,mac_matz,UberEats,Reply,2021-03-27 17:59:45,@Uber_Support @UberEats why did you double charge me on my order? https://t.co/7Sk8zMXIws
2561,Uber_Support,punjabipungay,Reply,2021-03-27 18:00:24,"@punjabipungay Hi there, we are happy to help. Please follow our support page: https://t.co/zbmoXgGxGX so our Uber… https://t.co/b8m1Ig2iVX"
2562,raiderdogg2k3,Uber_Support,Reply,2021-03-27 18:02:29,@Uber_Support What is the status of this?
2563,Sabrina96353027,Uber_Support,Reply,2021-03-27 18:09:14,"@Uber_Support It’s not letting me dm, please send me a message so I can reply back to it."
2564,chrisdolmannn,Uber_Support,Reply,2021-03-27 18:10:49,@Uber_Support @UberUKsupport any luck
2565,chrisdolmannn,UberUKsupport,Reply,2021-03-27 18:10:49,@Uber_Support @UberUKsupport any luck
2566,EnidMelendez20,Uber_Support,Reply,2021-03-27 18:11:58,@Uber_Support Just to be clear what is a DM
2567,MarkFar89214893,Uber_Support,Reply,2021-03-27 18:15:20,"@Uber_Support Hi, I just placed my first order with uber eats and applied the £20 voucher code, it said that it had… https://t.co/4jWsoVbh7S"
2568,jefford_chris,Uber_Support,Reply,2021-03-27 18:16:50,"@Uber_Support Answer the question. 
Why?"
2569,Kylie91974619,Uber_Support,Reply,2021-03-27 18:24:54,@Uber_Support @UberEats So my order just keeps getting pushed back farther and isn't updating in terms of the order… https://t.co/Ik9PCwWjk4
2570,Kylie91974619,UberEats,Reply,2021-03-27 18:24:54,@Uber_Support @UberEats So my order just keeps getting pushed back farther and isn't updating in terms of the order… https://t.co/Ik9PCwWjk4
2571,Uber_Support,Sabrina96353027,Reply,2021-03-27 18:29:14,"@Sabrina96353027 Here to help. To send a DM for iOS and Android, you can tap the envelope icon. You’ll be directed… https://t.co/HBVj8KMy7s"
2572,aidanbell0,Uber_Support,Reply,2021-03-27 18:33:12,"@Uber_Support is now saying that ""Because you contacted us more than 48 hours after your order was placed, we’re un… https://t.co/s5h8Hz1QVk"
2573,nakedshorts1,Uber_Support,Reply,2021-03-27 18:34:58,"@Uber_Support hello, are you aware one of your drivers, James Koncar, is forging vaccination cards and selling them?"
2574,judeaberdeen,Uber_Support,Reply,2021-03-27 18:36:47,"@Uber_Support what’s the point in sending discount codes, for first time uses when these do not work"
